"subj_idx","ChoiceRT","ChoiceDemand","TaskDemand","trial","DemandAversive_on","DemandAvoidance_true","response","rt","split_by","feedback","q_init"
47,0.0177463189993432,"easy","mid",3,"demand_aversive","demand_avoid",1,0.0177463189993432,0,0.5,0.5
47,0.0173030449986982,"hard","mid",4,"demand_aversive","demand_avoid",0,0.0173030449986982,0,0.5,0.5
47,0.0162170980001974,"hard","mid",5,"demand_aversive","demand_avoid",0,0.0162170980001974,0,0.5,0.5
47,0.0159158630012826,"hard","mid",6,"demand_aversive","demand_avoid",0,0.0159158630012826,0,0.5,0.5
47,0.017369275999954,"easy","mid",48,"demand_aversive","demand_avoid",1,0.017369275999954,0,0.5,0.5
47,0.0171988279998914,"easy","mid",49,"demand_aversive","demand_avoid",1,0.0171988279998914,0,0.5,0.5
47,0.0168937050002569,"hard","mid",50,"demand_aversive","demand_avoid",0,0.0168937050002569,0,0.5,0.5
47,0.0167094409989659,"hard","mid",10,"demand_aversive","demand_avoid",0,0.0167094409989659,0,0.5,0.5
47,0.0172569000005751,"easy","mid",11,"demand_aversive","demand_avoid",1,0.0172569000005751,0,0.5,0.5
47,0.0165895610007283,"easy","mid",12,"demand_aversive","demand_avoid",1,0.0165895610007283,0,0.5,0.5
47,0.0171653120014525,"easy","mid",13,"demand_aversive","demand_avoid",1,0.0171653120014525,0,0.5,0.5
47,0.0168760330016084,"easy","mid",14,"demand_aversive","demand_avoid",1,0.0168760330016084,0,0.5,0.5
47,0.0163117529991723,"hard","mid",15,"demand_aversive","demand_avoid",0,0.0163117529991723,0,0.5,0.5
47,0.0158538659998158,"easy","mid",1,"demand_aversive","demand_avoid",1,0.0158538659998158,0,0.5,0.5
47,0.0163331799994921,"easy","mid",35,"demand_aversive","demand_avoid",1,0.0163331799994921,0,0.5,0.5
47,0.0164735979997204,"hard","mid",36,"demand_aversive","demand_avoid",0,0.0164735979997204,0,0.5,0.5
47,0.00572969899985765,"hard","mid",33,"demand_aversive","demand_avoid",0,0.00572969899985765,0,0.5,0.5
